title,typeOfResource,genre,placeTerm,publisher,dateIssued,languageTerm,form(marccategory),form(marcsmd),extent
          Spofford's cabinet cyclopædia atlas of the world       ,                   cartographic                ,atlas,"Philadelphia, Pa",The Gebbie Publishing Co.,1900,          eng       ,map,atlas,"160 p. : ill., maps ; 36 cm."
"          Real estate plat-book of the city of Pittsburgh          from official records, private plans and actual surveys       ",                   cartographic                ,atlas,Philadelphia,G.M. Hopkins,1898-1906 1898 1906,          eng       ,map,atlas,4 v. : col. maps ; 59 cm.
"          Journal de la navigation autour du globe, de la fre?gate La The?tis et de la corvette L'Espe?rance, pendant les anne?es 1824, 1825 et 1826          pub. par ordre du roi sous les auspices du De?partement de la marine       ",                   cartographic                ,atlas,Paris,A. Bertrand,1837,          fre       ,map,atlas,"2 v. : tables ; 32 cm. atlas of 55 pl. (incl. maps, plans) fold. map ; 55 cm."
          Dorling Kindersley world atlas                  World atlas       ,                   cartographic                ,atlas World Atlases.,New York,DK Publishing,2000,          eng       ,map,atlas,"1 atlas (354 p.) : col. ill., col. maps, 37 cm."
          National Geographic our world          a child's first picture atlas                  Our world       ,                   cartographic                ,map,"Washington, D.C",National Geographic Society,2000,          eng       ,map,map,"1 atlas (32 p.) : col. ill., col. maps 35 cm."
          Picture reference atlas       ,                   cartographic                ,atlas,"Princeton, NJ",Two-Can Pub.,c2000 2000,          eng       ,map,atlas,"1 atlas (48 p.) : col. ill., col. maps ; 34 cm."
          New historical atlas of religion in America       ,                   cartographic                ,atlas,New York,Oxford University Press,c2001 2001,          eng       ,map,atlas,"1 atlas (xxiii, 435 p.) : col. maps 34 cm."
          Maps of the California Trail       ,                   cartographic                ,atlas,"Tucson, Ariz",Patrice Press,c1999 1999,          eng       ,map,atlas,1 atlas (277 p.) : maps ; 22 x 28 cm.
          Ground water atlas of the United States                  USGS Ground water atlas of the United States       ,                   cartographic                ,atlas government publication,"Reston, VA","U.S. Dept. of the Interior, U.S. Geological Survey",2000,          eng       ,,,"1 atlas (1 v. (various pagings)) : col. ill., col. maps ; 60 cm."
          Atlas of medieval Europe                  Medieval Europe       ,                   cartographic                ,atlas,New York,Checkmark Books,c2000 2000,          eng       ,map,atlas,"1 atlas (191 p.) : chiefly col. ill., col. maps ; 31 cm."
          Historical atlas of expeditions       ,                   cartographic                ,atlas,New York,Checkmark Books,c2000 2000,          eng       ,map,atlas,"1 atlas (189 p.) : ill. (some col.), col. maps ; 31 cm."
          National Geographic student atlas of the world                  Student atlas of the world       ,                   cartographic                ,atlas,"Washington, D.C",National Geographic Society,2001,          eng       ,map,atlas,"1 atlas (128 p.) : col. ill., col. maps ; 28 cm."
          The           Routledge historical atlas of religion in America                  Historical atlas of religion in America       ,                   cartographic                ,atlas,New York,Routledge,2000,          eng       ,map,atlas,"1 atlas (144 p.) : ill. (some col.), col. maps ; 26 cm."
          A           Sto?:lo?-Coast Salish historical atlas       ,                   cartographic                ,atlas,Vancouver Seattle Chilliwack,Douglas & McIntyre University of Washington Press Sto?:lo? Heritage Trust,c2001 2001,          eng       ,map,atlas,"1 atlas (xvi, 208 p.) : ill. (some col.), col. maps ; 37 cm."
          United States military road atlas                  Military Living's United States military road atlas                  Military road atlas       ,                   cartographic                ,atlas,"Falls Church, Va",Military Living Publications,c2002 2000,          eng       ,map,atlas,"1 atlas (144 p.) : col. ill., col. maps ; 39 cm."
          Sky atlas 2000.0 companion                  SkyAtlas 2000.0 companion                  Sky atlas two thousand point zero companion       ,                   cartographic                ,atlas,"Cambridge, Mass Cambridge, U.K New York, NY",Sky Pub. Corp. Cambridge University Press,c2000 2000,          eng       ,,,"1 atlas (xix, 281 p.) : ill. ; 28 cm."
          Historical maps of Civil War battlefields                  Civil War battlefields       ,                   cartographic                ,atlas,"San Diego, CA",Thunder Bay Press,c2000 2000,          eng       ,,,"1 atlas (144 p.) : col. ill., col. maps ; 25 x 29 cm."
          A           wheel of memory          the Hereford Mappamundi                  Hereford Mappamundi       ,                   cartographic                ,map,Ann Arbor,University of Michigan Press,c2001 2001,          eng       ,electronic resource,optical disc,1 computer optical disc ; 4 3/4 in.
          The           Routledge historical atlas of presidential elections       ,                   cartographic                ,atlas,New York,Routledge,c2001 2001,          eng       ,map,atlas,"1 atlas (160 p.) : ill. (chiefly col.), col. maps ; 26 cm."
          Maps on file       ,                   cartographic                ,atlas,New York,Facts on File,c2000 2000,          eng       ,map,atlas,1 atlas (2 v.) : maps ; 28 cm.
          Facts on File children's atlas       ,                   cartographic                ,atlas,New York,Checkmark Books,c2000 2000,          eng       ,,,"1 atlas (96 p.) : col. ill., col. maps ; 30 cm."
"          Clermont County, Ohio 1891          atlas & history       ",                   cartographic                ,atlas,"New Richmond, Ohio",Aileen M. Whitt,2000,          eng       ,,,"1 atlas (113 p. ) ; ill., maps 44 cm."
          Barrington atlas of the Greek and Roman world       ,                   cartographic                ,atlas,"Princeton, N.J",Princeton University Press,2000,          eng       ,map,atlas,"1 atlas (xxviii, 102 maps ) col. ; 47 cm. + 1 computer optical disc (4 3/4 in.)"
          The           Penguin atlas of human sexual behavior       ,                   cartographic                ,atlas,New York,Penguin Reference,c2000 2000,          eng       ,,,1 atlas (128 p.) : col. maps ; 25 cm.
          The           state of the world atlas       ,                   cartographic                ,atlas,New York,Penguin Reference,2000,          eng       ,map,atlas,"1 atlas (160 p.) : col. ill., col. maps 25 cm."
          The           state of women in the world atlas       ,                   cartographic                ,atlas,New York,Penguin Reference,2000,          eng       ,map,atlas,"1 atlas (128 p.) : col. ill., col. maps, 25 cm."
          Dorling Kindersley children's atlas       ,                   cartographic                ,atlas,New York,Dorling Kindersley Pub.,2000,          eng       ,map,atlas,"1 atlas (176 p.) : col. ill., col. maps ; 36 x 27 cm."
          The           atlas of changing South Africa       ,                   cartographic                ,atlas,London New York,Routledge,c2001 2001,          eng       ,map,atlas,"x, 260 p. : ill., maps ; 26 cm."
          Scholastic atlas of the world       ,                   cartographic                ,atlas,New York,Scholastic Reference,c2001 2001,          eng       ,map,atlas,"1 atlas (224 p.) : col. ill., col. maps ; 31 cm."
          Hammond concise world atlas                  Concise world atlas       ,                   cartographic                ,atlas,"Union, N.J.]",Hammond,c2000 2000,          eng       ,map,atlas,1 atlas (238 p.) : col. maps ; 33 cm.
          Hammond new comparative world atlas                  New comparative world atlas       ,                   cartographic                ,atlas,"Union, N.J",Hammond,2000,          eng       ,,,p. cm.
          National geographic atlas of natural America                  Atlas of natural America       ,                   cartographic                ,atlas,"Washington, D.C",The Society,2000,          eng       ,map,atlas,"1 atlas (304 p.) : col. ill., col. maps ; 31 cm."
"          Lewis and Clark trail maps, a cartographic reconstruction       ",                   cartographic                ,atlas,"Pullman, Wash",Washington State University Press,c2000-c2004 2000,          eng       ,map,atlas,1 atlas (3 v.) : maps ; 32 cm.
          A           geography of islands          small island insularity       ,                   cartographic                ,atlas,London New York,Routledge,2001,          eng       ,,,"x, 237 p. : ill., maps ; 25 cm."
          Historical atlas of Central America                  Atlas of Central America       ,                   cartographic                ,atlas,"Norman, Oklahoma",University of Oklahoma Press,c2003 2003,          eng       ,map,atlas,"1 atlas (xiv, 321 p.) : col. ill., col. maps ; 34 cm."
          Global GIS database          Digital atlas of Central and South America                  Digital atlas of Central and South America       ,                   cartographic                ,map government publication,Flagstaff. AZ],USGS,2000,          eng       ,electronic resource,optical disc,1 CD-ROM ; 4 3/4 in.
          Atlas of the evolving earth       ,                   cartographic                ,atlas,Detroit,Macmillan Reference USA,c2001 2001,          eng       ,map,atlas,"1 atlas (3 v.) : col. ill., col. maps ; 31 cm."
          Assignment Washington military road atlas          maps & charts of Washington area military installations                  Washington military road atlas                  Military road atlas       ,                   cartographic                ,atlas,"Falls Church, VA",Military Living Publications,c2000 2000,          eng       ,map,atlas,"1 atlas (80 p.) : col. ill., col. maps ; 28 cm."
          Hammond pocket world atlas and road atlas of North America                  Pocket world atlas and road atlas of North America       ,                   cartographic                ,atlas,"Union, NJ",Hammond World Atlas Corp.,c2000 2000,          eng       ,map,atlas,"1 atlas (224 p.) : col. ill., col. maps ; 21 cm."
"          World Bank atlas, 2000                  World development indicators       ",                   cartographic                ,atlas government publication,"Washington, DC",World Bank,c2000 2000,          eng                  fre                  spa       ,map,atlas,"1 atlas (63 p.) : col ill., col. maps ; 22 x 28 cm."
"          Phæ?nthi? Krung The?p Maha? Nakho??n, c?hattham do?i C?he?m Lo?, Pho??.So??. 2378 =          A geological map of pasts of klong, wat--of Bangkok in the Siam, by Captain James Low, Calcutta, 1835                  Geological map of pasts of klong, wat--of Bangkok in the Siam       ",                   cartographic                ,map,Krung The?p],Samnakphim Ton Chabap,2543 [2000] 2000,          tha                  eng       ,map,map,1 map : col. ; 67 x 47 cm.
          District Kara?chi West                  District map of Kara?chi West       ,                   cartographic                ,map government publication,Ra?walpindi,Survey of Pakistan,[1997] 1997,          eng       ,map,map,"1 map : col. ; 74 x 85 cm., folded to 22 x 14 cm."
          Botswana tourist road map       ,                   cartographic                ,map,"Sloane Park, South Africa Gaborone, Botswana",Rainbird Publishers Pula Press,c1999 1999,          eng       ,map,map,1 map : col. ; 49 x 41 cm. folded to 21 x 10 cm.
          Gallery map of Zanzibar          with detailed map of Unguja Island & Stone Town                  Detailed map of Unguja Island and Stone Town                  Map of Zanzibar Island                  Map of Stone Town       ,                   cartographic                ,map,Zanzibar,Gallery Publications,c1999 1999,          eng       ,map,map,"2 maps on 1 sheet : both sides, col. ; 58 x 38 cm. and 41 x 38 cm., sheet 60 x 60 cm., folded to 20 x 10 cm."
          Rwanda health facilities       ,                   cartographic                ,map government publication,Kigali?],"UNDP Rwanda, IMU",[2000] 2000,          eng       ,map,map,1 map : col. ; 50 x 69 cm.
          Tourist map of Calcutta city       ,                   cartographic                ,map Tourist maps.,Calcutta,National Atlas & Thematic Mapping Organisation,c1997 1997,          eng       ,map,map,1 map : col. ; 73 x 54 cm.
"          Index to the Missaukee County, Michigan plat map                  Index to the undated Missaukee County, Michigan plat map                  Land owners, Missaukee County, Michigan       ",                   cartographic                ,atlas,"Dowagiac, Mi[ch]",N. Corwin,[1994?] 1994,          eng       ,,,1 v. (unpaged) : maps ; 29 cm.
"          Tennessee city & county traffic maps showing 1999 average daily traffic                  Tennessee city and county traffic maps showing 1999 average daily traffic                  Traffic flow maps, Tennessee roads and streets, 1999                  1999 ADT       ",                   cartographic                ,atlas government publication,Nashville?],Tennessee Dept. of Transportation,[2000] 2000,          eng       ,map,atlas,1 atlas (1 v. (various pagings)) : chiefly maps ; 22 x 28 cm.
"          Cuaderno cartogra?fico, 1999       ",                   cartographic                ,,"Ciudad Jua?rez, Chihuahua",Instituto Municipal de Investigacio?n y Planeacio?n,1999,          spa       ,,,50 p.
          Atlas flora dan fauna Indonesia          untuk pendidikan dasar       ,                   cartographic                ,atlas government publication,Cibinong],Badan Koordinasi Survei dan Pemetaan Nasional (BAKOSURTANAL),2000,          ind       ,map,atlas,"1 atlas (vii, 130 p.) : col. ill., col. maps (some folded) ; 38 cm."
"          Indonesia, peta administrasi =          Indonesia, administration map                  Indonesia, administration map       ",                   cartographic                ,atlas government publication,Cibinong],Badan Koordinasi Survei dan Pemetaan Nasional,1999/2000 [i.e. 2000] 2000,          ind                  eng       ,map,atlas,"1 atlas (iv, 33 leaves (some folded)) : col. maps ; 42 x 62 cm."
"          Indonesia, atlas pendidikan menengah                  Atlas pendidikan menengah       ",                   cartographic                ,atlas government publication,Cibinong],Badan Koordinasi Survei dan Pemetaan Nasional,1996/1997 [i.e. 1997] 1997,          ind       ,map,atlas,"1 atlas (1 v. (unpaged)) : ill. (some col.), col. maps ; 46 x 66 cm."
"          Indonesia, atlas sumber daya nasional =          Indonesia, national resources atlas                  Indonesia, national resources atlas                  National resources atlas, Indonesia       ",                   cartographic                ,atlas government publication,Cibinong],Badan Koordinasi Survey dan Pemetaan Nasional,1998/1999- [i.e. 1999- ] 1999 9999,          ind                  eng       ,map,atlas,1 atlas (v. <1 >) : col. maps ; 51 x 74 cm.
          Map of Bangkok          celebrate the amazing River of kings : amazing Thailand 1999                  City map of Bangkok       ,                   cartographic                ,map government publication,"Bangkok, Thailand",Tourism Authority of Thailand,[1999] 1999,          eng       ,map,map,"1 map : col. ; 49 x 56 cm., folded to 26 x 15 cm."
"          Su? ?a?o Thai - ?Anda?man =          Land of the two seas : Chumpho??n, Rano??ng, Sura?t Tha?ni?                  Land of the two seas : Chumpho??n, Rano??ng, Sura?t Tha?ni?       ",                   cartographic                ,map government publication,Thailand?,Samnaknga?n Tho??Tho??Tho??. Pha?k Tai Khe?t 5],2542 [1999] 1999,          tha                  eng       ,map,map,1 map : col. ; 45 x 44 cm. folded to 15 x 11 cm.
          Peta investasi Kalimantan Selatan =          Investment map of South Kalimantan                  Investment map of South Kalimantan       ,                   cartographic                ,atlas government publication,Banjarmasin],Badan Koordinasi Penanaman Modal Daerah Tk. I Kalimantan Selatan,[1997] 1997,          ind                  eng       ,map,atlas,"1 atlas (v, 112 p.) : col. ill., col. maps ; 23 x 33 cm."
          Propinsi Jawa Barat       ,                   cartographic                ,map,Surabaya [Indonesia],PT. Karya Pembina Swajaya,[2000?] 2000,          ind       ,map,map,"1 map : col. ; 68 x 103 cm., folded to 17 x 26 cm."
