LDR,100,245,260,506,516,653 [1],653 [2],653 [3],653 [4],653 [5],830,856
00823nas a2200265uu 4500,"    Trollope, Anthony,     1815-1882  ",    An Old Man's Love     [electronic resource] /     Anthony Trollope  ,"    Project Gutenberg,     2008  ",    Public domain in the USA.  ,    Text  ,    Middle-aged men -- Fiction  ,    England -- Fiction  ,    Triangles (Interpersonal relations) -- Fiction  ,    Love stories  ,    Guardian and ward -- Fiction  ,    Project Gutenberg     25001  ,    http://www.gutenberg.org/ebooks/25001  
00677nas a2200217uu 4500," Fitzhugh, Percy Keese,  1876-1950", Roy Blakeley's Bee-line Hike  [electronic resource] /  Percy Keese Fitzhugh," Project Gutenberg,  2008", Public domain in the USA., Text, Boy Scouts of America -- Juvenile fiction,,,,, Project Gutenberg  25002, http://www.gutenberg.org/ebooks/25002
00741nas a2200229uu 4500," Brazil, Angela,  1869-1947", The Nicest Girl in the School :  A Story of School Life  [electronic resource] /  Angela Brazil," Project Gutenberg,  2008", Public domain in the USA., Text, Schools -- Juvenile fiction, Girls -- Conduct of life -- Juvenile fiction,,,, Project Gutenberg  25003, http://www.gutenberg.org/ebooks/25003
00890nas a2200253uu 4500," Dawson, Sarah Morgan,  1842-1909", A Confederate Girl's Diary  [electronic resource] /  Sarah Morgan Dawson," Project Gutenberg,  2008", Public domain in the USA., Text," Louisiana -- History -- Civil War, 1861-1865", Women -- Louisiana -- Diaries," United States -- History -- Civil War, 1861-1865 -- Personal narratives, Confederate"," Dawson, Sarah Morgan, 1842-1909 -- Diaries",, Project Gutenberg  25004, http://www.gutenberg.org/ebooks/25004
00633nas a2200217uu 4500," Crownfield, Gertrude,  1867-1945", The Shadow Witch  [electronic resource] /  Gertrude Crownfield," Project Gutenberg,  2008", Public domain in the USA., Text, Fairy tales,,,,, Project Gutenberg  25005, http://www.gutenberg.org/ebooks/25005
00681nas a2200229uu 4500," Münsterberg, Hugo,  1863-1916", Psychology and Social Sanity  [electronic resource] /  Hugo Münsterberg," Project Gutenberg,  2008", Public domain in the USA., Text, Social psychology, Social problems,,,, Project Gutenberg  25006, http://www.gutenberg.org/ebooks/25006
00650nas a2200229uu 4500," Murrey, Thomas J.  (Thomas Jefferson)", Fifty Soups  [electronic resource] /  Thomas J. Murrey," Project Gutenberg,  2008", Public domain in the USA., Text, Cooking, Soups,,,, Project Gutenberg  25007, http://www.gutenberg.org/ebooks/25007
00683nas a2200217uu 4500," Jackson, Wallace,  1930-1813", An Essay on the Lyric Poetry of the Ancients  [electronic resource] /  Wallace Jackson," Project Gutenberg,  2008", Public domain in the USA., Text, Classical poetry -- History and criticism,,,,, Project Gutenberg  25008, http://www.gutenberg.org/ebooks/25008
00635nas a2200217uu 4500,, The World's Greatest Books — Volume 14 — Philosophy and Economics  [electronic resource]," Project Gutenberg,  2008", Public domain in the USA., Text, Economics, Philosophy,,,, Project Gutenberg  25009, http://www.gutenberg.org/ebooks/25009
00633nas a2200205uu 4500,," Punch, or the London Charivari, Vol. 146, April 29, 1914  [electronic resource] /  Various"," Project Gutenberg,  2008", Public domain in the USA., Text, English wit and humor -- Periodicals,,,,, Project Gutenberg  25010, http://www.gutenberg.org/ebooks/25010
00669nas a2200217uu 4500," Marlitt, E.  (Eugenie),  1825-1887", Amtmannin Maria  [electronic resource] /  E. Marlitt," Project Gutenberg,  2008", Public domain in the USA., Text," Thüringen (Thuringia, Germany : Province) -- Fiction",,,,, Project Gutenberg  25011, http://www.gutenberg.org/ebooks/25011
00870nas a2200277uu 4500," Nietzsche, Friedrich Wilhelm,  1844-1900"," The Case Of Wagner, Nietzsche Contra Wagner, and Selected Aphorisms.  [electronic resource] /  Friedrich Wilhelm Nietzsche"," Project Gutenberg,  2008", Public domain in the USA., Text, Literature -- Collections, Essays," Wagner, Richard, 1813-1883", Music -- History and criticism,, Project Gutenberg  25012, http://www.gutenberg.org/ebooks/25012
00644nas a2200229uu 4500," Headley, John Parker", How to Make a Shoe  [electronic resource] /  John Parker Headley," Project Gutenberg,  2008", Public domain in the USA., Text, Shoemakers, Shoes,,,, Project Gutenberg  25013, http://www.gutenberg.org/ebooks/25013
00689nas a2200217uu 4500," Flaubert, Gustave,  1821-1880", Bouvard and Pécuchet :  A Tragi-comic Novel of Bourgeois Life  [electronic resource] /  Gustave Flaubert," Project Gutenberg,  2008", Public domain in the USA., Text, Paris (France) -- Fiction,,,,, Project Gutenberg  25014, http://www.gutenberg.org/ebooks/25014
00625nas a2200205uu 4500,," Library of the World's Best Literature, Ancient and Modern — Volume 11  [electronic resource]"," Project Gutenberg,  2008", Public domain in the USA., Text, Literature -- Collections,,,,, Project Gutenberg  25015, http://www.gutenberg.org/ebooks/25015
00774nas a2200241uu 4500," Machen, Arthur,  1863-1947", The House of Souls  [electronic resource] /  Arthur Machen," Project Gutenberg,  2008", Public domain in the USA., Text," Horror tales, English", Supernatural -- Fiction,,,, Project Gutenberg  25016, http://www.gutenberg.org/ebooks/25016
00707nas a2200241uu 4500," Tracy, Louis,  1863-1928", A Son of the Immortals  [electronic resource] /  Louis Tracy," Project Gutenberg,  2008", Public domain in the USA., Text, Love stories, Kings and rulers -- Fiction, Artists -- Fiction,,, Project Gutenberg  25017, http://www.gutenberg.org/ebooks/25017
00762nas a2200241uu 4500," Vincent, Marvin Richardson,  1834-1922", Amusement :  A Force in Christian Training  [electronic resource] /  Marvin Richardson Vincent," Project Gutenberg,  2008", Public domain in the USA., Text," Sermons, American", Christian life, Amusements -- Religious aspects,,, Project Gutenberg  25018, http://www.gutenberg.org/ebooks/25018
00663nas a2200229uu 4500," Verne, Jules,  1828-1905", Ein Drama in Mexico.  [electronic resource] /  Jules Verne," Project Gutenberg,  2008", Public domain in the USA., Text, Mutiny -- Fiction, Mexico -- Fiction,,,, Project Gutenberg  25019, http://www.gutenberg.org/ebooks/25019
00704nas a2200229uu 4500," Paterson, Josephine G.", Humanistic Nursing  [electronic resource] /  Josephine G. Paterson," Project Gutenberg,  2008", Copyrighted. Read the copyright notice inside this book for details., Text, Nursing -- Philosophy, Nursing,,,, Project Gutenberg  25020, http://www.gutenberg.org/ebooks/25020
00727nas a2200241uu 4500,, Battle of the Monkey and the Crab  [electronic resource] /  Anonymous," Project Gutenberg,  2008", Public domain in the USA., Text, Folklore -- Japan, Fairy tales -- Japan,,,, Project Gutenberg  25021, http://www.gutenberg.org/ebooks/25021
